ID_cliente,Nombre,Apellido,Edad,Provincia,Ocupacion,Saldo_cuenta,Limite_credito,Tiene_tarjeta,Producto_principal,Fecha_alta,Nivel_satisfaccion
105,Ana,Rodríguez,39,Tucumán,Empresario,139500.73,146476.17,True,Plazo fijo,2016-12-05,
106,Carlos,García,26,Buenos Aires,Empresario,87971.5,143152.18,False,Tarjeta de crédito,2018-09-03,2.0
107,Pedro,García,46,Neuquén,,110423.91,141479.75,False,Cuenta corriente,2018-03-05,2.0
108,Ana,Martínez,64,Salta,Empresario,129982.52,174824.23,False,Préstamo personal,2016-06-14,
109,Sofía,López,54,Neuquén,,168424.89,170431.14,False,Préstamo personal,2023-02-08,9.0
110,Pedro,Fernández,40,Córdoba,Empleado,67700.2,86373.55,True,Cuenta corriente,2022-06-29,10.0
111,Juan,Gómez,30,Mendoza,Jubilado,118248.11,115355.16,True,Caja de ahorro,2020-07-14,10.0
112,Pedro,Fernández,49,Santa Fe,Jubilado,200786.31,170292.51,True,Tarjeta de crédito,2022-02-13,2.0
113,Carlos,García,63,Neuquén,Empresario,91197.63,144199.13,False,Préstamo personal,2021-10-29,4.0
114,Pedro,Pérez,69,Buenos Aires,,109827.84,,False,Caja de ahorro,2019-09-12,8.0
115,Juan,Rodríguez,64,Córdoba,Empresario,200711.52,210010.41,False,Cuenta corriente,2022-07-16,2.0
116,Carlos,Romero,65,Buenos Aires,Desempleado,131873.87,118011.47,True,Caja de ahorro,2021-02-21,
117,Marta,Fernández,40,Tucumán,Estudiante,26300.99,151431.08,True,Cuenta corriente,2022-12-17,10.0
118,Diego,García,62,Salta,Desempleado,60226.12,143139.24,False,Tarjeta de crédito,2019-10-27,1.0
119,Diego,Rodríguez,34,Santa Fe,Jubilado,134478.96,106852.45,True,Caja de ahorro,2018-09-08,2.0
120,Luis,Sánchez,72,Buenos Aires,,121150.25,157398.19,True,Tarjeta de crédito,2019-12-02,7.0
121,Marta,López,57,Mendoza,Estudiante,108128.99,165684.28,True,Caja de ahorro,2022-04-29,1.0
122,Marta,Díaz,38,Tucumán,Empleado,,131292.96,True,Cuenta corriente,2019-08-13,
123,Pedro,Martínez,19,Tucumán,Jubilado,69125.64,136552.31,False,Cuenta corriente,2022-05-01,2.0
124,Diego,Rodríguez,54,Santa Fe,Jubilado,96279.31,174019.48,True,Caja de ahorro,2019-12-08,4.0
125,Juan,Pérez,23,Tucumán,Empleado,,70994.47,False,Cuenta corriente,2015-02-13,7.0
126,Lucía,Pérez,61,Mendoza,Empleado,158032.99,116199.85,True,Plazo fijo,2016-05-03,4.0
127,Lucía,Rodríguez,35,Buenos Aires,Empleado,,158537.4,False,Plazo fijo,2015-06-30,5.0
128,Carlos,Pérez,47,Santa Fe,Jubilado,152856.84,128930.45,False,Tarjeta de crédito,2021-08-18,4.0
129,Diego,López,39,Chubut,Empresario,147601.51,128358.84,True,Plazo fijo,2016-09-19,4.0
130,Diego,Pérez,71,Tucumán,Empleado,217454.96,,False,Plazo fijo,2017-08-14,9.0
131,Lucía,Fernández,50,Tucumán,Estudiante,132463.78,124667.03,False,Préstamo personal,2020-10-15,6.0
132,Diego,Díaz,47,Mendoza,Jubilado,82195.67,229167.13,True,Préstamo personal,2019-03-29,3.0
133,Pedro,Pérez,34,Salta,Desempleado,122681.15,79819.5,False,Préstamo personal,2018-01-20,6.0
134,Sofía,Díaz,79,Salta,,62037.36,61520.25,True,Préstamo personal,2019-11-17,7.0
135,María,García,60,Neuquén,Estudiante,115958.01,,False,Cuenta corriente,2022-09-27,7.0
136,Marta,Gómez,49,Tucumán,Empresario,89954.87,110641.95,True,Tarjeta de crédito,2016-10-12,8.0
137,Luis,López,59,Chubut,Empleado,96483.08,111317.06,True,Tarjeta de crédito,2020-02-20,4.0
138,Carlos,Gómez,68,Buenos Aires,,,189389.33,True,Plazo fijo,2018-06-21,1.0
139,Sofía,García,31,Santa Fe,Empleado,115022.3,130109.26,True,Tarjeta de crédito,2015-12-07,6.0
140,Lucía,López,75,Tucumán,Jubilado,141211.5,186414.47,True,Plazo fijo,2023-01-29,8.0
141,Marta,Rodríguez,27,Córdoba,Desempleado,17395.16,125583.52,False,Tarjeta de crédito,2019-12-14,5.0
142,Diego,Rodríguez,64,Santa Fe,Empleado,65570.37,164501.26,False,Caja de ahorro,2021-09-11,3.0
143,Luis,Díaz,77,Neuquén,Estudiante,108402.36,129543.1,True,Caja de ahorro,2022-07-13,4.0
144,Diego,García,68,Salta,Empresario,-17365.83,113207.51,False,Tarjeta de crédito,2020-11-14,8.0
145,Juan,Díaz,53,Chubut,Estudiante,187013.22,219224.05,False,Cuenta corriente,2018-09-16,6.0
146,Juan,Martínez,51,Tucumán,Empresario,64444.46,194658.49,False,Plazo fijo,2016-03-24,5.0
147,Luis,Pérez,26,Mendoza,Empleado,53095.62,120934.37,True,Tarjeta de crédito,2018-12-12,9.0
148,Luis,Romero,59,Córdoba,Empleado,89632.89,142864.16,True,Plazo fijo,2015-03-18,10.0
149,Lucía,Martínez,45,Tucumán,Empresario,106868.64,209049.07,False,Préstamo personal,2017-06-14,3.0
150,Luis,Pérez,28,Chubut,,62176.36,110471.18,True,Tarjeta de crédito,2016-07-02,
151,Pedro,López,31,Neuquén,Jubilado,149020.68,112635.68,True,Cuenta corriente,2017-03-08,9.0
152,Diego,Díaz,56,Buenos Aires,,119985.33,168802.42,False,Préstamo personal,2018-12-23,4.0
153,Sofía,López,72,Córdoba,Estudiante,58137.91,240819.78,True,Tarjeta de crédito,2019-02-17,10.0
154,Ana,López,64,Neuquén,Estudiante,73879.74,152153.26,True,Caja de ahorro,2017-03-25,10.0
155,Luis,Pérez,71,Tucumán,Empleado,24161.52,191992.45,True,Tarjeta de crédito,2020-12-22,3.0
156,Carlos,García,36,Buenos Aires,Estudiante,37332.96,109302.41,True,Caja de ahorro,2022-05-25,1.0
157,Juan,Pérez,71,Córdoba,Jubilado,119379.92,164442.09,True,Caja de ahorro,2019-05-03,9.0
158,Pedro,Sánchez,32,Buenos Aires,Jubilado,58656.77,,False,Tarjeta de crédito,2016-10-07,1.0
159,Marta,Rodríguez,79,Buenos Aires,Empresario,190214.22,224665.0,True,Tarjeta de crédito,2019-12-31,
160,Ana,Rodríguez,45,Córdoba,Empleado,103546.16,213947.63,True,Caja de ahorro,2016-12-20,9.0
161,Sofía,Martínez,41,Córdoba,Jubilado,32358.83,241176.67,False,Plazo fijo,2019-03-03,5.0
162,Ana,Rodríguez,25,Buenos Aires,Desempleado,42832.64,122180.43,False,Préstamo personal,2022-04-14,4.0
163,Luis,Pérez,60,Neuquén,Empleado,152648.48,151419.93,True,Cuenta corriente,2021-12-06,9.0
164,Lucía,Fernández,78,Chubut,Empleado,96174.32,165006.68,False,Tarjeta de crédito,2017-12-05,
165,Juan,Díaz,26,Salta,Jubilado,149599.74,123741.29,True,Préstamo personal,2019-01-06,2.0
166,Juan,Pérez,64,Córdoba,Desempleado,81675.6,155242.21,False,Préstamo personal,2016-10-09,3.0
167,Marta,Pérez,50,Tucumán,Empresario,71988.4,186359.12,True,Plazo fijo,2017-03-02,3.0
168,Lucía,Romero,79,Santa Fe,,155972.37,127985.38,False,Préstamo personal,2016-08-01,5.0
169,Diego,Díaz,50,Mendoza,Desempleado,57071.13,121865.74,True,Tarjeta de crédito,2020-08-10,3.0
170,María,Sánchez,36,Buenos Aires,Empleado,124452.71,119213.77,False,Préstamo personal,2020-11-26,10.0
171,Pedro,Rodríguez,20,Buenos Aires,Desempleado,89410.82,96251.9,True,Tarjeta de crédito,2016-04-04,6.0
172,Juan,Díaz,27,Mendoza,Empleado,,184159.71,True,Tarjeta de crédito,2021-05-02,2.0
173,Carlos,Rodríguez,57,Salta,Jubilado,190924.2,121773.27,True,Caja de ahorro,2018-03-07,6.0
174,Juan,Martínez,64,Mendoza,Jubilado,80391.12,117555.71,False,Plazo fijo,2015-02-13,6.0
175,Ana,Díaz,59,Córdoba,Estudiante,72642.89,171162.79,False,Cuenta corriente,2023-01-12,2.0
176,Juan,Rodríguez,18,Mendoza,Estudiante,133290.42,149575.36,True,Caja de ahorro,2019-03-14,6.0
177,Juan,Sánchez,46,Buenos Aires,Estudiante,45899.82,128978.79,True,Cuenta corriente,2023-03-11,6.0
178,María,Gómez,67,Mendoza,Jubilado,180823.27,182425.15,True,Tarjeta de crédito,2017-09-09,6.0
179,María,López,51,Santa Fe,Empresario,172301.13,127382.15,True,Caja de ahorro,2021-04-28,5.0
180,Sofía,López,68,Tucumán,Jubilado,50044.02,62921.96,False,Préstamo personal,2022-08-07,7.0
181,Diego,Sánchez,30,Córdoba,Desempleado,20843.76,,False,Préstamo personal,2016-09-24,5.0
182,Carlos,Romero,71,Mendoza,Jubilado,41971.14,,False,Cuenta corriente,2021-01-08,1.0
183,Juan,Gómez,18,Buenos Aires,Jubilado,42731.52,121241.83,True,Tarjeta de crédito,2021-03-10,9.0
184,Juan,Martínez,51,Neuquén,Empleado,140088.03,121418.52,True,Cuenta corriente,2018-06-11,
185,Pedro,Sánchez,46,Tucumán,Empleado,177458.52,152384.04,False,Plazo fijo,2022-12-20,2.0
186,María,López,65,Córdoba,Empleado,139506.31,139030.3,False,Préstamo personal,2016-09-14,10.0
187,Carlos,López,64,Buenos Aires,Jubilado,88190.39,189522.84,False,Caja de ahorro,2020-05-31,6.0
188,Marta,López,30,Salta,Empresario,117124.92,,False,Caja de ahorro,2015-12-27,8.0
189,Sofía,García,65,Santa Fe,Desempleado,56511.1,122832.02,True,Caja de ahorro,2021-06-25,2.0
190,Diego,Sánchez,66,Chubut,Desempleado,154860.4,112479.7,True,Préstamo personal,2021-03-19,4.0
191,Lucía,Pérez,70,Salta,,121601.45,129123.95,True,Tarjeta de crédito,2015-07-29,2.0
192,Diego,Martínez,78,Chubut,,138659.89,,False,Préstamo personal,2017-07-19,9.0
193,Ana,López,46,Santa Fe,Desempleado,63623.21,145345.56,True,Préstamo personal,2019-05-26,10.0
194,Juan,Rodríguez,56,Mendoza,Estudiante,91570.14,129983.54,False,Caja de ahorro,2016-05-03,2.0
195,Sofía,Sánchez,41,Córdoba,Empleado,136253.66,98119.58,False,Préstamo personal,2016-08-23,10.0
196,Ana,García,43,Mendoza,Empleado,172175.64,61644.45,False,Caja de ahorro,2017-02-12,2.0
197,Carlos,Sánchez,34,Santa Fe,Desempleado,,109811.3,False,Tarjeta de crédito,2017-05-27,5.0
198,Lucía,Martínez,24,Santa Fe,Empresario,139022.6,200576.63,False,Plazo fijo,2019-01-27,5.0
199,María,García,30,Santa Fe,Estudiante,64396.41,167439.71,True,Caja de ahorro,2016-11-30,
200,Sofía,Martínez,22,Chubut,Desempleado,205859.69,142338.59,True,Cuenta corriente,2021-11-04,1.0
201,Sofía,Sánchez,43,Tucumán,Empleado,79258.76,179191.47,True,Plazo fijo,2021-09-26,2.0
202,Juan,Pérez,66,Buenos Aires,Jubilado,132175.26,98484.67,False,Tarjeta de crédito,2020-05-11,6.0
203,Luis,Martínez,20,Córdoba,Empresario,108280.48,152270.0,True,Plazo fijo,2021-11-28,2.0
204,Sofía,García,24,Mendoza,Jubilado,230265.16,78545.8,False,Caja de ahorro,2015-09-13,4.0
205,Pedro,García,75,Mendoza,Desempleado,111495.08,163840.76,True,Tarjeta de crédito,2018-03-19,10.0
206,Lucía,Martínez,66,Salta,Empleado,74247.2,160380.61,False,Cuenta corriente,2020-12-14,6.0
207,Lucía,Fernández,56,Chubut,Estudiante,131975.33,161332.33,False,Caja de ahorro,2016-01-27,7.0
208,Pedro,Sánchez,70,Santa Fe,Jubilado,130862.04,196704.72,True,Caja de ahorro,2021-12-02,10.0
209,Marta,Fernández,18,Neuquén,Estudiante,92126.51,181039.79,False,Tarjeta de crédito,2017-09-19,5.0
210,Pedro,Romero,66,Santa Fe,Empleado,45261.71,101643.46,True,Tarjeta de crédito,2023-02-18,8.0
211,Pedro,Sánchez,79,Santa Fe,Jubilado,73600.06,197308.77,True,Plazo fijo,2021-09-15,6.0
212,Lucía,Martínez,34,Neuquén,Estudiante,144074.95,141621.92,True,Cuenta corriente,2021-05-10,5.0
213,Diego,Gómez,60,Mendoza,Estudiante,12627.55,71194.06,False,Plazo fijo,2017-04-24,4.0
214,Lucía,Martínez,42,Salta,Jubilado,87597.71,145649.78,False,Plazo fijo,2015-05-19,6.0
215,Luis,Fernández,76,Buenos Aires,Empleado,149743.2,175885.16,False,Caja de ahorro,2015-04-13,6.0
216,Juan,Pérez,78,Neuquén,Estudiante,95325.19,109445.92,False,Tarjeta de crédito,2018-06-19,6.0
217,Ana,Martínez,20,Chubut,Desempleado,208685.51,,True,Caja de ahorro,2018-02-14,1.0
218,Diego,Martínez,32,Tucumán,Jubilado,12767.49,113067.34,False,Cuenta corriente,2018-05-22,6.0
219,María,Pérez,46,Córdoba,Empresario,51931.61,130756.32,True,Plazo fijo,2016-04-28,1.0
220,Ana,Martínez,70,Chubut,Empresario,-15731.69,123410.5,True,Cuenta corriente,2022-01-20,5.0
221,Juan,López,60,Neuquén,Empleado,199684.53,81640.95,False,Tarjeta de crédito,2015-08-12,7.0
222,Luis,Gómez,49,Buenos Aires,Desempleado,52750.64,,False,Tarjeta de crédito,2018-07-17,1.0
223,Luis,Rodríguez,43,Mendoza,,653.93,121525.63,True,Préstamo personal,2020-01-23,1.0
224,María,Gómez,77,Tucumán,Empresario,69404.03,144795.78,False,Cuenta corriente,2020-02-28,6.0
225,Diego,Martínez,33,Tucumán,Empleado,30359.54,29941.02,True,Caja de ahorro,2020-12-01,7.0
226,Marta,López,42,Tucumán,Desempleado,,,False,Cuenta corriente,2019-01-04,6.0
227,Pedro,Sánchez,71,Santa Fe,Desempleado,102061.46,178266.95,False,Plazo fijo,2016-10-05,5.0
228,Diego,Martínez,45,Córdoba,Empleado,140246.06,197258.45,True,Tarjeta de crédito,2022-05-22,6.0
229,Marta,Fernández,26,Mendoza,Empleado,91266.55,90333.78,True,Tarjeta de crédito,2018-06-09,3.0
230,Luis,López,73,Mendoza,Estudiante,101264.53,138286.74,True,Cuenta corriente,2016-04-02,9.0
231,Lucía,Pérez,73,Tucumán,Empleado,70920.24,187657.42,False,Cuenta corriente,2021-08-19,5.0
232,Juan,López,18,Mendoza,Estudiante,24415.09,191099.83,False,Cuenta corriente,2019-06-16,2.0
233,María,Pérez,46,Córdoba,Estudiante,,209157.24,False,Plazo fijo,2016-09-02,10.0
234,Juan,Romero,74,Córdoba,Jubilado,,154108.6,True,Plazo fijo,2015-07-26,10.0
235,Carlos,Rodríguez,39,Salta,Desempleado,104231.99,147761.05,True,Caja de ahorro,2019-03-24,7.0
236,Carlos,Díaz,33,Neuquén,Desempleado,78069.27,87682.03,False,Cuenta corriente,2019-01-06,3.0
237,Diego,López,58,Neuquén,Desempleado,9533.65,,True,Caja de ahorro,2017-07-05,1.0
238,Luis,García,68,Salta,Jubilado,110070.0,131587.43,False,Préstamo personal,2021-06-26,3.0
239,Luis,Fernández,61,Buenos Aires,,181465.24,151357.64,True,Plazo fijo,2020-11-10,9.0
240,Pedro,Martínez,68,Neuquén,Estudiante,94267.67,148686.82,False,Tarjeta de crédito,2018-12-02,5.0
241,Pedro,Fernández,71,Córdoba,Empleado,71023.47,54213.91,False,Préstamo personal,2018-03-27,7.0
242,Pedro,Gómez,58,Córdoba,Jubilado,96975.3,117541.77,False,Tarjeta de crédito,2022-12-29,3.0
243,Lucía,Díaz,24,Neuquén,Empleado,44781.01,168155.25,True,Préstamo personal,2020-11-16,4.0
244,Ana,Gómez,31,Córdoba,Jubilado,41555.04,148056.57,True,Caja de ahorro,2021-03-22,1.0
245,Sofía,Romero,46,Salta,Empleado,122570.7,,False,Caja de ahorro,2017-05-01,3.0
246,Ana,Díaz,36,Tucumán,,149516.08,,False,Plazo fijo,2016-03-16,7.0
247,Juan,Díaz,36,Tucumán,,92645.08,117070.38,False,Tarjeta de crédito,2016-12-20,4.0
248,Ana,Gómez,19,Mendoza,Desempleado,1311.75,129393.99,False,Préstamo personal,2016-08-07,2.0
